,date,open,high,low,close,volume
11104,2017-05-09,16.5111,16.6568,16.414,16.5597,1476405
11105,2017-05-10,16.5111,16.7539,16.414,16.7054,1172330
11106,2017-05-11,16.7054,16.9482,16.5354,16.7054,1437823
11107,2017-05-12,16.7539,16.8511,16.6083,16.7054,988210
11108,2017-05-15,16.7054,16.8996,16.6568,16.7539,842972
11109,2017-05-16,16.8025,16.8025,16.4869,16.6083,835959
11110,2017-05-17,16.4626,16.5597,16.244,16.3654,1634321
11111,2017-05-18,16.3169,16.4626,16.1955,16.3654,1257869
11112,2017-05-19,16.3654,16.8511,16.3169,16.8511,3267467
11113,2017-05-22,16.8025,16.9482,16.7539,16.8996,1154521
11114,2017-05-23,16.8996,16.9968,16.7539,16.8996,726216
11115,2017-05-24,16.8511,16.9482,16.7054,16.9482,1120029
11116,2017-05-25,16.9968,16.9968,16.7539,16.8025,965132
11117,2017-05-26,16.7539,16.8511,16.6568,16.7539,963477
11118,2017-05-30,16.8025,17.0939,16.7054,17.0939,1398261
11119,2017-05-31,17.0939,17.191,16.8025,17.0939,1328052
11120,2017-06-01,17.1424,17.1512,16.8996,17.1424,2090413
11121,2017-06-02,17.0453,17.2881,16.9492,17.0939,868141
11122,2017-06-05,17.1424,17.191,16.9968,17.0453,683631
11123,2017-06-06,16.9482,16.9968,16.7054,16.8511,865180
11124,2017-06-07,16.8511,16.8996,16.7054,16.7539,833171
11125,2017-06-08,16.7539,17.0939,16.7539,17.0939,1178301
11126,2017-06-09,17.1424,17.3367,17.0696,17.191,1292706
11127,2017-06-12,17.2396,17.3367,17.1424,17.2396,985558
11128,2017-06-13,17.2881,17.4824,17.1667,17.3853,1367633
11129,2017-06-14,17.3853,17.3853,17.191,17.3367,917466
11130,2017-06-15,17.191,17.2881,16.9482,17.1424,1415434
11131,2017-06-16,16.9482,17.191,16.8996,17.191,1301635
11132,2017-06-19,17.2881,17.3367,17.0939,17.2396,924170
11133,2017-06-20,17.1424,17.1424,16.8511,16.9968,881612
11134,2017-06-21,16.9482,17.0453,16.8511,16.9482,683727
11135,2017-06-22,16.8996,16.9968,16.7539,16.8996,2047088
11136,2017-06-23,16.9482,17.1424,16.8996,17.1424,2613626
11137,2017-06-26,17.0939,17.2153,16.6568,16.8511,2199968
11138,2017-06-27,16.9482,17.191,16.8511,16.9968,1093136
11139,2017-06-28,17.191,17.4824,16.9968,17.4824,1198876
11140,2017-06-29,17.4824,17.4824,17.021,17.2881,820362
11141,2017-06-30,17.2396,17.3367,16.9968,17.191,865110
11142,2017-07-03,17.1424,17.2881,17.0453,17.2396,531887
11143,2017-07-05,17.191,17.2881,17.0453,17.2396,1252895
11144,2017-07-06,17.1424,17.191,16.8754,16.9482,1227050
11145,2017-07-07,16.8511,17.191,16.8511,17.0453,1200167
11146,2017-07-10,16.9385,17.0358,16.8411,16.9385,967169
11147,2017-07-11,16.9872,17.1819,16.8411,17.0845,1024187
11148,2017-07-12,17.0845,17.2305,16.9628,17.0358,628250
11149,2017-07-13,17.0358,17.1332,16.9385,17.0845,1450546
11150,2017-07-14,17.0358,17.1819,17.0115,17.1332,602005
11151,2017-07-17,17.1819,17.1819,17.0115,17.1332,728627
11152,2017-07-18,17.0358,17.1332,17.0115,17.0845,692661
11153,2017-07-19,17.1332,17.3035,17.1332,17.2792,813425
11154,2017-07-20,17.3279,17.6686,17.2792,17.5712,1406717
11155,2017-07-21,17.6199,17.6686,17.4982,17.6199,816484
